,Feature,Car 1,Car 2,Status
246,Saco portaesquís,N/A,160 €,Different
247,IVA,16 %,21 %,Different
248,"Display 6.5"" en color",De serie,N/A,Different
249,Vía trasera,1.566 mm,1.553 mm,Different
250,Número de cilindros,10,4,Different
251,Asientos traseros abatibles,Sólo en paquete,N/A,Different
252,Llave de confort (acceso y arranque sin llave),N/A,De serie,Different
253,Pinzas de freno pintadas en rojo,N/A,405 €,Different
254,Anclajes ISOFIX en asientos exteriores traseros,De serie,N/A,Different
255,Pilotos LED traseros,N/A,De serie,Different
256,Cable USB,N/A,De serie,Different
257,Carga por inducción para teléfono móvil,N/A,Sólo en paquete,Different
258,Sensor de luces,N/A,Sólo en paquete,Different
259,Apertura remota del maletero,De serie,N/A,Different
260,Filtro de partículas,No,No,Same
261,Asientos delanteros con ajuste neumático del respaldo,N/A,910 €,Different
262,"Paquete cuero ampliado (apoyabrazos de puerta, consola central y asideros de puertas en cuero, airbag del volante y parte superior del cuadro de instrumentos en cuero negro) (no con tela tetris)",N/A,De serie,Different
263,Pintura Amarillo vegas,N/A,415 €,Different
264,Llantas de aleación de 51 cm - 9 x 20 (255/30) de 5 radios en V (42H),N/A,2.565 €,Different
265,Red deflectora para el viento (retráctil eléctricamente),N/A,De serie,Different
266,Aire acondicionado,De serie,De serie,Same
267,Audi Music Interface,N/A,305 €,Different
268,Espejos exteriores calefactados,De serie,N/A,Different
269,Tipo de mecanismo,N/A,Pares de engranajes,Different
270,Cinturones traseros de 3 puntos,De serie,N/A,Different
271,Triángulo de emergencia con equipo de primeros auxilios,84 €,N/A,Different
272,Asiento conductor con ajuste eléctrico de altura,De serie,N/A,Different
273,Llantas de aleación de 48 cm - 9 x 19 (245/35) de 5 radios dobles (45W),N/A,1.465 €,Different
274,Revoluciones potencia máxima,7.750 rpm,5.800 - 6.200 rpm,Different
275,Toma de carga de 5 V en radio y de 12 V en consola delantera,N/A,De serie,Different
276,Navegación Business,1.899 €,N/A,Different
277,Elementos decorativos interiores en color plata,N/A,280 €,Different
278,Sensor de lluvia,De serie,Sólo en paquete,Different
279,start_year,2008,2015,Different
280,Elementos decorativos interiores en color antracita,N/A,De serie,Different
281,Techo de cristal eléctrico,1.529 €,N/A,Different
282,Autocierre de puertas,789 €,N/A,Different
283,Asientos traseros con calefacción,457 €,N/A,Different
284,end_year,2010,2018,Different
285,Luces autoadaptables,De serie,N/A,Different
286,Ordenador de viaje,N/A,De serie,Different
287,Tipo de Carrocería,Turismo,Descapotable,Different
288,Sonido HiFi Professional LOGIC7 (i/ 13 altavoces),1.591 €,N/A,Different
289,Intermitentes blancos,De serie,N/A,Different
290,Cristales antitérmicos,N/A,De serie,Different
291,Apoyabrazos central delantero,N/A,220 €,Different
292,Parabrisas con banda solar superior,N/A,De serie,Different
293,Radio MMI con lector de CD,N/A,De serie,Different
294,Propósito,Impulsar el vehículo,Impulsar el vehículo,Same
295,url,https://www.km77.com/coches/bmw/serie-5/2007/berlina/m5/m52/datos,https://www.km77.com/coches/audi/tt/2015/roadster/tts/tts-roadster-20-tfsi-310-cv-quattro-s-tronic/datos,Different
296,Faros LED (luz de cruce y carretera),N/A,1.490 €,Different
297,Lector de tarjetas SD,N/A,De serie,Different
298,Iluminación del abrepuertas interior y compartimento de puerta,De serie,N/A,Different
299,Sensor de luz para luces de cruce,De serie,N/A,Different
300,Cajones bajo los asientos delanteros,N/A,Sólo en paquete,Different
301,Audi Connect (conexión a Internet) (solo con MMI navegación plus),N/A,610 €,Different
302,Arcos antivuelco fijos detrás de los asientos,N/A,De serie,Different
303,Vía delantera,1.580 mm,1.572 mm,Different
304,Apoyabrazos delantero ajustable,De serie,N/A,Different
305,Tipo de frenos delanteros,Disco ventilado,Disco ventilado,Same
306,Precio sin impuestos,79.847 €,51.427 €,Different
307,Molduras de entrada con emblema S,N/A,De serie,Different
308,Cilindrada,4.999 cm³,1.984 cm³,Different
309,Pintura sólida,0 €,N/A,Different
310,Airbag laterales traseros,457 €,N/A,Different
311,Head Up Display,1.652 €,N/A,Different
312,Asientos delanteros con regulacion eléctrica,N/A,910 €,Different
313,Ordenador de a bordo,De serie,N/A,Different
314,Asistente de luces de carretera smart beam (solo con retrovisor interior con antideslumbramiento aut.),N/A,185 €,Different
315,Peso,1.855 kg,1.545 kg,Different
316,Iluminacion en retrovisores exteriores,De serie,N/A,Different
317,Llantas de aleación de 51 cm - 9 x 20 (255/30) de 10 radios en Y en negro brillante (42G),N/A,2.685 €,Different
318,Elevalunas eléctricos delanteros,N/A,De serie,Different
319,Emisiones de CO₂ NEDC,344 gr/km,159 gr/km,Different
320,Par máximo,520 Nm,380 Nm,Different
321,Asientos delanteros con calefacción,De serie,430 €,Different
322,"Llantas de aleación de 46 cm - 8,5 x 18 (245/40) de 10 radios en V (C6C)",N/A,De serie,Different
323,Coeficiente Cx,"0,31","0,31",Same
324,Fijación ISOFIX para asiento infantil en asiento delantero acompañante,Sólo en paquete,N/A,Different
